H HEADER INFORMATION ------------------------------------------- 
H COMPANY : Impetro Operating, LLC
H FIELD   : Winkler County., TX (NAD 27)
H SITE    : Sec 03, Blk C-24 PSLS
H WELL    : Kudu A #2H
H WELLPATH: Wellbore #1
H DEPTHUNT: usft
H SURVDATE: 1/1/1990 
H---------------------------------------------------------------- 
H WELL INFORMATION 
H WELL EW MAP : 1072754.46
H WELL NS MAP : 852298.31
H DATUM ELEVN : 3018.00
H VSECT ANGLE : 166.60
H VSECT NORTH : 0.00
H VSECT EAST  : 0.00
H----------------------------------------------------------------
H SURVEY TYPE INFORMATION
H  122.00 - 19683.00 SURVEY #1 : MWD
H  19683.00 - 21261.62 PLAN #6A : MWD
H----------------------------------------------------------------
H SURVEY LIST
H MD      INC       AZI       TVD       NS        EW
4520.00   0.49      306.23    4519.27   32.16     55.95     
4530.00   0.71      300.13    4529.27   32.22     55.86     
4540.00   0.94      296.92    4539.26   32.29     55.74     
4550.00   1.16      294.95    4549.26   32.37     55.57     
4560.00   1.31      293.97    4559.26   32.46     55.37     
4570.00   1.33      293.65    4569.26   32.55     55.16     
4580.00   1.35      293.34    4579.26   32.65     54.94     
4590.00   1.37      293.04    4589.25   32.74     54.73     
4600.00   1.39      292.75    4599.25   32.83     54.50     
4610.00   1.41      292.47    4609.25   32.93     54.28     
4620.00   1.43      292.20    4619.24   33.02     54.05     
4630.00   1.46      291.93    4629.24   33.12     53.81     
4640.00   1.48      291.68    4639.24   33.21     53.58     
4650.00   1.50      291.42    4649.23   33.31     53.34     
4660.00   1.45      291.59    4659.23   33.40     53.10     
4670.00   1.40      291.81    4669.23   33.49     52.86     
4680.00   1.35      292.06    4679.22   33.58     52.64     
4690.00   1.29      292.32    4689.22   33.67     52.43     
4700.00   1.24      292.60    4699.22   33.75     52.22     
4710.00   1.19      292.91    4709.22   33.84     52.03     
4720.00   1.14      293.25    4719.21   33.92     51.84     
4730.00   1.08      293.62    4729.21   33.99     51.66     
4740.00   1.03      294.03    4739.21   34.07     51.50     
4750.00   1.00      294.53    4749.21   34.14     51.33     
4760.00   0.98      295.10    4759.21   34.21     51.18     
4770.00   0.97      295.69    4769.21   34.29     51.02     
4780.00   0.96      296.29    4779.21   34.36     50.87     
4790.00   0.95      296.91    4789.20   34.43     50.72     
4800.00   0.94      297.54    4799.20   34.51     50.58     
4810.00   0.93      298.18    4809.20   34.59     50.43     
4820.00   0.92      298.84    4819.20   34.66     50.29     
4830.00   0.91      299.51    4829.20   34.74     50.15     
4840.00   0.90      300.20    4839.20   34.82     50.01     
4850.00   0.90      300.00    4849.20   34.90     49.88     
4860.00   0.90      299.80    4859.19   34.98     49.74     
4870.00   0.90      299.60    4869.19   35.05     49.60     
4880.00   0.90      299.40    4879.19   35.13     49.47     
4890.00   0.90      299.20    4889.19   35.21     49.33     
4900.00   0.90      299.00    4899.19   35.29     49.19     
4910.00   0.90      298.80    4909.19   35.36     49.06     
4920.00   0.90      298.60    4919.19   35.44     48.92     
4930.00   0.90      298.40    4929.19   35.51     48.78     
4940.00   0.89      298.86    4939.19   35.59     48.64     
4950.00   0.88      299.99    4949.18   35.66     48.51     
4960.00   0.87      301.16    4959.18   35.74     48.38     
4970.00   0.86      302.36    4969.18   35.82     48.25     
4980.00   0.85      303.59    4979.18   35.90     48.12     
4990.00   0.84      304.85    4989.18   35.98     48.00     
5000.00   0.83      306.14    4999.18   36.07     47.88     
5010.00   0.82      307.46    5009.18   36.15     47.77     
5020.00   0.81      308.82    5019.18   36.24     47.66     
5030.00   0.80      310.20    5029.18   36.33     47.55     
5040.00   0.76      304.34    5039.17   36.41     47.44     
5050.00   0.72      297.82    5049.17   36.48     47.33     
5060.00   0.70      293.15    5059.17   36.53     47.22     
5070.00   0.71      293.99    5069.17   36.58     47.11     
5080.00   0.71      294.81    5079.17   36.63     46.99     
5090.00   0.72      295.63    5089.17   36.68     46.88     
5100.00   0.72      296.43    5099.17   36.74     46.77     
5110.00   0.72      297.23    5109.17   36.80     46.66     
5120.00   0.73      298.01    5119.17   36.85     46.54     
5130.00   0.74      298.78    5129.17   36.92     46.43     
5140.00   0.74      299.54    5139.17   36.98     46.32     
5150.00   0.75      300.29    5149.17   37.04     46.21     
5160.00   0.75      301.03    5159.16   37.11     46.09     
5170.00   0.76      301.75    5169.16   37.18     45.98     
5180.00   0.76      302.47    5179.16   37.25     45.87     
5190.00   0.77      303.17    5189.16   37.32     45.76     
5200.00   0.78      303.87    5199.16   37.40     45.64     
5210.00   0.78      304.55    5209.16   37.47     45.53     
5220.00   0.79      305.22    5219.16   37.55     45.42     
5230.00   0.79      305.88    5229.16   37.63     45.31     
5240.00   0.80      306.74    5239.16   37.71     45.19     
5250.00   0.78      308.51    5249.16   37.80     45.08     
5260.00   0.77      310.33    5259.16   37.88     44.98     
5270.00   0.76      312.22    5269.15   37.97     44.88     
5280.00   0.75      314.16    5279.15   38.06     44.78     
5290.00   0.74      316.17    5289.15   38.15     44.69     
5300.00   0.73      318.23    5299.15   38.25     44.61     
5310.00   0.72      320.35    5309.15   38.34     44.52     
5320.00   0.71      322.52    5319.15   38.44     44.45     
5330.00   0.70      324.73    5329.15   38.54     44.37     
5340.00   0.70      322.61    5339.15   38.64     44.30     
5350.00   0.70      318.60    5349.15   38.73     44.23     
5360.00   0.70      314.60    5359.15   38.82     44.14     
5370.00   0.71      310.65    5369.15   38.90     44.05     
5380.00   0.71      306.78    5379.15   38.98     43.95     
5390.00   0.73      303.03    5389.15   39.05     43.85     
5400.00   0.74      299.42    5399.14   39.12     43.74     
5410.00   0.76      295.97    5409.14   39.18     43.63     
5420.00   0.78      292.69    5419.14   39.23     43.50     
5430.00   0.79      290.20    5429.14   39.28     43.37     
5440.00   0.76      290.18    5439.14   39.33     43.25     
5450.00   0.73      290.15    5449.14   39.38     43.12     
5460.00   0.70      290.13    5459.14   39.42     43.01     
5470.00   0.67      290.10    5469.14   39.46     42.90     
5480.00   0.64      290.07    5479.14   39.50     42.79     
5490.00   0.60      290.04    5489.14   39.54     42.69     
5500.00   0.57      290.00    5499.14   39.57     42.59     
5510.00   0.54      289.96    5509.14   39.60     42.50     
5520.00   0.51      289.91    5519.14   39.64     42.41     
5530.00   0.51      288.52    5529.14   39.66     42.33     
5540.00   0.53      286.66    5539.14   39.69     42.24     
5550.00   0.55      284.94    5549.13   39.72     42.15     
5560.00   0.57      283.34    5559.13   39.74     42.06     
5570.00   0.59      281.86    5569.13   39.76     41.96     
5580.00   0.62      280.47    5579.13   39.78     41.85     
5590.00   0.64      279.18    5589.13   39.80     41.75     
5600.00   0.66      277.98    5599.13   39.82     41.63     
5610.00   0.68      276.85    5609.13   39.84     41.52     
5620.00   0.70      275.94    5619.13   39.85     41.40     
5630.00   0.71      275.67    5629.13   39.86     41.27     
5640.00   0.72      275.40    5639.13   39.87     41.15     
5650.00   0.73      275.15    5649.13   39.89     41.02     
5660.00   0.74      274.90    5659.13   39.90     40.89     
5670.00   0.76      274.65    5669.13   39.91     40.76     
5680.00   0.77      274.42    5679.13   39.92     40.63     
5690.00   0.78      274.19    5689.12   39.93     40.50     
5700.00   0.79      273.96    5699.12   39.94     40.36     
5710.00   0.80      273.74    5709.12   39.95     40.22     
5720.00   0.79      272.80    5719.12   39.96     40.08     
5730.00   0.78      271.65    5729.12   39.96     39.95     
5740.00   0.77      270.47    5739.12   39.96     39.81     
5750.00   0.76      269.25    5749.12   39.96     39.68     
5760.00   0.75      267.99    5759.12   39.96     39.55     
5770.00   0.73      266.70    5769.12   39.95     39.42     
5780.00   0.72      265.37    5779.12   39.94     39.29     
5790.00   0.72      264.00    5789.12   39.93     39.17     
5800.00   0.71      262.60    5799.11   39.92     39.04     
5810.00   0.69      261.87    5809.11   39.90     38.92     
5820.00   0.66      262.81    5819.11   39.89     38.81     
5830.00   0.62      263.85    5829.11   39.87     38.70     
5840.00   0.59      265.01    5839.11   39.86     38.59     
5850.00   0.56      266.30    5849.11   39.85     38.49     
5860.00   0.53      267.75    5859.11   39.85     38.40     
5870.00   0.50      269.38    5869.11   39.85     38.31     
5880.00   0.47      271.24    5879.11   39.85     38.22     
5890.00   0.44      273.35    5889.11   39.85     38.14     
5900.00   0.41      275.77    5899.11   39.86     38.07     
5910.00   0.41      280.63    5909.11   39.87     38.00     
5920.00   0.42      285.78    5919.11   39.88     37.93     
5930.00   0.44      290.59    5929.11   39.91     37.86     
5940.00   0.46      295.02    5939.11   39.94     37.79     
5950.00   0.48      299.08    5949.11   39.97     37.71     
5960.00   0.50      302.77    5959.11   40.02     37.64     
5970.00   0.53      306.12    5969.11   40.07     37.57     
5980.00   0.55      309.15    5979.11   40.13     37.49     
5990.00   0.58      311.88    5989.11   40.19     37.42     
6000.00   0.60      312.41    5999.11   40.26     37.34     
6010.00   0.59      309.90    6009.11   40.33     37.26     
6020.00   0.59      307.35    6019.11   40.39     37.18     
6030.00   0.59      304.79    6029.10   40.45     37.10     
6040.00   0.59      302.20    6039.10   40.51     37.01     
6050.00   0.59      299.62    6049.10   40.56     36.93     
6060.00   0.59      297.04    6059.10   40.61     36.84     
6070.00   0.59      294.48    6069.10   40.66     36.74     
6080.00   0.59      291.95    6079.10   40.70     36.65     
6090.00   0.60      289.45    6089.10   40.73     36.55     
6100.00   0.58      291.64    6099.10   40.77     36.45     
6110.00   0.57      294.50    6109.10   40.81     36.36     
6120.00   0.55      297.52    6119.10   40.85     36.27     
6130.00   0.54      300.70    6129.10   40.90     36.19     
6140.00   0.53      304.04    6139.10   40.95     36.11     
6150.00   0.52      307.50    6149.10   41.00     36.04     
6160.00   0.51      311.09    6159.10   41.06     35.97     
6170.00   0.50      314.78    6169.10   41.12     35.90     
6180.00   0.50      318.53    6179.10   41.18     35.84     
6190.00   0.49      318.97    6189.10   41.25     35.79     
6200.00   0.48      314.19    6199.10   41.31     35.73     
6210.00   0.47      309.16    6209.10   41.37     35.67     
6220.00   0.46      303.92    6219.10   41.41     35.60     
6230.00   0.46      298.57    6229.10   41.46     35.53     
6240.00   0.46      293.18    6239.10   41.49     35.46     
6250.00   0.46      287.86    6249.10   41.52     35.39     
6260.00   0.47      282.70    6259.09   41.54     35.31     
6270.00   0.48      277.76    6269.09   41.55     35.23     
6280.00   0.50      273.10    6279.09   41.56     35.14     
6290.00   0.47      273.84    6289.09   41.57     35.06     
6300.00   0.44      274.69    6299.09   41.57     34.98     
6310.00   0.40      275.68    6309.09   41.58     34.91     
6320.00   0.37      276.84    6319.09   41.59     34.84     
6330.00   0.34      278.22    6329.09   41.60     34.78     
6340.00   0.31      279.88    6339.09   41.60     34.72     
6350.00   0.28      281.93    6349.09   41.61     34.67     
6360.00   0.25      284.49    6359.09   41.62     34.63     
6370.00   0.21      287.78    6369.09   41.64     34.59     
6380.00   0.20      289.80    6379.09   41.65     34.55     
6390.00   0.20      291.00    6389.09   41.66     34.52     
6400.00   0.20      291.80    6399.09   41.67     34.49     
6410.00   0.20      292.60    6409.09   41.69     34.46     
6420.00   0.20      293.40    6419.09   41.70     34.43     
6430.00   0.20      294.20    6429.09   41.71     34.39     
6440.00   0.20      295.00    6439.09   41.73     34.36     
6450.00   0.20      295.80    6449.09   41.74     34.33     
6460.00   0.20      296.60    6459.09   41.76     34.30     
6470.00   0.20      297.40    6469.09   41.77     34.27     
6480.00   0.21      294.10    6479.09   41.79     34.24     
6490.00   0.22      291.07    6489.09   41.80     34.20     
6500.00   0.23      288.30    6499.09   41.82     34.16     
6510.00   0.24      285.76    6509.09   41.83     34.13     
6520.00   0.25      283.44    6519.09   41.84     34.08     
6530.00   0.26      281.31    6529.09   41.85     34.04     
6540.00   0.27      279.36    6539.09   41.86     34.00     
6550.00   0.28      277.57    6549.09   41.86     33.95     
6560.00   0.30      275.92    6559.09   41.87     33.90     
6570.00   0.31      275.95    6569.09   41.88     33.85     
6580.00   0.33      276.91    6579.09   41.88     33.79     
6590.00   0.35      277.77    6589.09   41.89     33.73     
6600.00   0.38      278.53    6599.09   41.90     33.67     
6610.00   0.40      279.21    6609.09   41.91     33.60     
6620.00   0.42      279.81    6619.09   41.92     33.53     
6630.00   0.44      280.37    6629.09   41.93     33.46     
6640.00   0.46      280.87    6639.09   41.95     33.38     
6650.00   0.48      281.32    6649.09   41.96     33.30     
6660.00   0.50      281.49    6659.09   41.98     33.21     
6670.00   0.50      279.37    6669.09   42.00     33.13     
6680.00   0.49      277.23    6679.09   42.01     33.04     
6690.00   0.49      275.08    6689.09   42.02     32.96     
6700.00   0.49      272.91    6699.09   42.02     32.87     
6710.00   0.49      270.74    6709.09   42.03     32.79     
6720.00   0.49      268.57    6719.09   42.03     32.70     
6730.00   0.49      266.41    6729.09   42.02     32.61     
6740.00   0.50      264.27    6739.09   42.02     32.53     
6750.00   0.50      262.14    6749.09   42.01     32.44     
6760.00   0.47      263.49    6759.08   41.99     32.36     
6770.00   0.43      267.71    6769.08   41.99     32.28     
6780.00   0.40      272.77    6779.08   41.99     32.21     
6790.00   0.36      278.85    6789.08   41.99     32.14     
6800.00   0.33      286.09    6799.08   42.01     32.08     
6810.00   0.31      294.56    6809.08   42.03     32.03     
6820.00   0.29      304.16    6819.08   42.05     31.98     
6830.00   0.29      314.48    6829.08   42.08     31.94     
6840.00   0.29      324.92    6839.08   42.12     31.91     
6850.00   0.29      330.44    6849.08   42.17     31.89     
6860.00   0.27      316.68    6859.08   42.21     31.86     
6870.00   0.27      301.50    6869.08   42.24     31.82     
6880.00   0.28      286.84    6879.08   42.25     31.78     
6890.00   0.31      274.29    6889.08   42.26     31.73     
6900.00   0.35      264.34    6899.08   42.26     31.67     
6910.00   0.40      256.68    6909.08   42.25     31.60     
6920.00   0.46      250.80    6919.08   42.23     31.53     
6930.00   0.52      246.24    6929.08   42.20     31.45     
6940.00   0.58      242.63    6939.08   42.16     31.37     
6950.00   0.59      241.45    6949.08   42.11     31.27     
6960.00   0.58      241.07    6959.08   42.06     31.19     
6970.00   0.57      240.68    6969.08   42.01     31.10     
6980.00   0.56      240.28    6979.08   41.96     31.01     
6990.00   0.55      239.86    6989.08   41.91     30.93     
7000.00   0.54      239.42    6999.08   41.86     30.85     
7010.00   0.53      238.97    7009.08   41.82     30.77     
7020.00   0.52      238.50    7019.08   41.77     30.69     
7030.00   0.51      238.01    7029.08   41.72     30.61     
7040.00   0.50      237.60    7039.08   41.68     30.54     
7050.00   0.49      237.58    7049.08   41.63     30.46     
7060.00   0.48      237.57    7059.08   41.58     30.39     
7070.00   0.47      237.55    7069.08   41.54     30.32     
7080.00   0.46      237.54    7079.08   41.50     30.26     
7090.00   0.45      237.52    7089.07   41.46     30.19     
7100.00   0.43      237.50    7099.07   41.41     30.12     
7110.00   0.42      237.49    7109.07   41.37     30.06     
7120.00   0.41      237.47    7119.07   41.33     30.00     
7130.00   0.40      237.45    7129.07   41.30     29.94     
7140.00   0.38      236.09    7139.07   41.26     29.88     
7150.00   0.36      233.92    7149.07   41.22     29.83     
7160.00   0.33      231.43    7159.07   41.18     29.78     
7170.00   0.31      228.55    7169.07   41.15     29.74     
7180.00   0.29      225.20    7179.07   41.11     29.70     
7190.00   0.26      221.28    7189.07   41.08     29.67     
7200.00   0.24      216.69    7199.07   41.04     29.64     
7210.00   0.23      211.31    7209.07   41.01     29.62     
7220.00   0.21      205.05    7219.07   40.98     29.60     
7230.00   0.20      203.49    7229.07   40.94     29.58     
7240.00   0.20      214.90    7239.07   40.91     29.57     
7250.00   0.21      225.82    7249.07   40.89     29.55     
7260.00   0.22      235.57    7259.07   40.86     29.52     
7270.00   0.24      243.87    7269.07   40.84     29.48     
7280.00   0.27      250.76    7279.07   40.83     29.44     
7290.00   0.30      256.40    7289.07   40.81     29.39     
7300.00   0.33      261.03    7299.07   40.80     29.34     
7310.00   0.36      264.85    7309.07   40.79     29.28     
7320.00   0.39      268.03    7319.07   40.79     29.21     
7330.00   0.39      264.46    7329.07   40.79     29.15     
7340.00   0.37      258.89    7339.07   40.78     29.08     
7350.00   0.36      252.94    7349.07   40.76     29.02     
7360.00   0.36      246.71    7359.07   40.74     28.96     
7370.00   0.35      240.33    7369.07   40.71     28.90     
7380.00   0.36      233.96    7379.07   40.68     28.85     
7390.00   0.36      227.75    7389.07   40.64     28.80     
7400.00   0.37      221.84    7399.07   40.59     28.76     
7410.00   0.39      216.31    7409.07   40.54     28.72     
7420.00   0.39      212.37    7419.07   40.49     28.68     
7430.00   0.36      211.14    7429.07   40.43     28.64     
7440.00   0.32      209.64    7439.07   40.38     28.61     
7450.00   0.29      207.78    7449.07   40.33     28.59     
7460.00   0.25      205.43    7459.07   40.29     28.57     
7470.00   0.22      202.36    7469.07   40.25     28.55     
7480.00   0.19      198.22    7479.07   40.22     28.54     
7490.00   0.16      192.41    7489.07   40.19     28.53     
7500.00   0.13      183.88    7499.07   40.17     28.53     
7510.00   0.10      170.98    7509.07   40.15     28.53     
7520.00   0.12      158.97    7519.07   40.13     28.53     
7530.00   0.15      151.76    7529.07   40.11     28.54     
7540.00   0.18      146.95    7539.07   40.08     28.56     
7550.00   0.21      143.56    7549.07   40.05     28.58     
7560.00   0.25      141.07    7559.07   40.02     28.60     
7570.00   0.28      139.15    7569.07   39.99     28.63     
7580.00   0.31      137.64    7579.07   39.95     28.67     
7590.00   0.35      136.43    7589.07   39.91     28.71     
7600.00   0.38      135.42    7599.07   39.86     28.75     
7610.00   0.38      135.52    7609.07   39.81     28.80     
7620.00   0.34      137.36    7619.07   39.77     28.84     
7630.00   0.30      139.73    7629.07   39.72     28.88     
7640.00   0.25      142.91    7639.07   39.69     28.91     
7650.00   0.21      147.34    7649.07   39.65     28.93     
7660.00   0.17      153.87    7659.07   39.63     28.95     
7670.00   0.14      164.06    7669.07   39.60     28.96     
7680.00   0.11      180.54    7679.07   39.58     28.96     
7690.00   0.09      205.24    7689.07   39.56     28.96     
7700.00   0.10      232.38    7699.07   39.55     28.95     
7710.00   0.09      222.59    7709.07   39.54     28.93     
7720.00   0.08      206.15    7719.07   39.53     28.93     
7730.00   0.08      188.77    7729.07   39.51     28.92     
7740.00   0.09      173.29    7739.07   39.50     28.92     
7750.00   0.11      161.14    7749.07   39.48     28.92     
7760.00   0.12      152.11    7759.07   39.46     28.93     
7770.00   0.14      145.44    7769.07   39.44     28.95     
7780.00   0.17      140.43    7779.07   39.42     28.96     
7790.00   0.19      136.59    7789.07   39.40     28.98     
7800.00   0.21      139.92    7799.07   39.37     29.01     
7810.00   0.23      148.42    7809.07   39.34     29.03     
7820.00   0.26      155.27    7819.07   39.30     29.05     
7830.00   0.29      160.76    7829.07   39.26     29.07     
7840.00   0.32      165.19    7839.07   39.21     29.08     
7850.00   0.36      168.79    7849.07   39.15     29.10     
7860.00   0.39      171.76    7859.07   39.09     29.11     
7870.00   0.43      174.23    7869.07   39.02     29.11     
7880.00   0.46      176.32    7879.06   38.94     29.12     
7890.00   0.50      178.10    7889.06   38.85     29.13     
7900.00   0.52      178.65    7899.06   38.77     29.13     
7910.00   0.54      179.16    7909.06   38.67     29.13     
7920.00   0.56      179.63    7919.06   38.58     29.13     
7930.00   0.58      180.07    7929.06   38.48     29.13     
7940.00   0.60      180.47    7939.06   38.37     29.13     
7950.00   0.63      180.85    7949.06   38.27     29.13     
7960.00   0.65      181.21    7959.06   38.15     29.13     
7970.00   0.67      181.54    7969.06   38.04     29.12     
7980.00   0.69      181.85    7979.06   37.92     29.12     
7990.00   0.70      181.62    7989.06   37.80     29.12     
8000.00   0.70      180.86    7999.06   37.68     29.11     
8010.00   0.70      180.11    8009.06   37.56     29.11     
8020.00   0.70      179.35    8019.06   37.43     29.11     
8030.00   0.70      178.59    8029.06   37.31     29.12     
8040.00   0.70      177.83    8039.06   37.19     29.12     
8050.00   0.70      177.07    8049.05   37.07     29.12     
8060.00   0.70      176.31    8059.05   36.95     29.13     
8070.00   0.70      175.56    8069.05   36.82     29.14     
8080.00   0.70      174.80    8079.05   36.70     29.15     
8090.00   0.71      173.94    8089.05   36.58     29.16     
8100.00   0.72      173.10    8099.05   36.46     29.18     
8110.00   0.73      172.29    8109.05   36.33     29.19     
8120.00   0.74      171.50    8119.05   36.20     29.21     
8130.00   0.75      170.73    8129.05   36.07     29.23     
8140.00   0.76      169.99    8139.05   35.94     29.25     
8150.00   0.77      169.26    8149.05   35.81     29.28     
8160.00   0.78      168.55    8159.05   35.68     29.30     
8170.00   0.80      167.87    8169.04   35.54     29.33     
8180.00   0.77      167.16    8179.04   35.41     29.36     
8190.00   0.73      166.37    8189.04   35.28     29.39     
8200.00   0.69      165.47    8199.04   35.16     29.42     
8210.00   0.65      164.46    8209.04   35.05     29.45     
8220.00   0.60      163.30    8219.04   34.94     29.48     
8230.00   0.56      161.96    8229.04   34.85     29.51     
8240.00   0.52      160.41    8239.04   34.76     29.54     
8250.00   0.48      158.59    8249.04   34.68     29.57     
8260.00   0.44      156.42    8259.04   34.60     29.60     
8270.00   0.40      154.51    8269.04   34.54     29.63     
8280.00   0.43      158.36    8279.04   34.47     29.66     
8290.00   0.46      161.75    8289.04   34.40     29.69     
8300.00   0.49      164.73    8299.04   34.32     29.71     
8310.00   0.52      167.36    8309.04   34.23     29.73     
8320.00   0.55      169.69    8319.04   34.14     29.75     
8330.00   0.58      171.76    8329.04   34.04     29.77     
8340.00   0.62      173.60    8339.04   33.94     29.78     
8350.00   0.65      175.26    8349.04   33.83     29.79     
8360.00   0.69      176.75    8359.03   33.71     29.80     
8370.00   0.68      175.25    8369.03   33.59     29.81     
8380.00   0.64      171.52    8379.03   33.48     29.82     
8390.00   0.61      167.35    8389.03   33.37     29.84     
8400.00   0.58      162.71    8399.03   33.27     29.87     
8410.00   0.55      157.60    8409.03   33.18     29.90     
8420.00   0.53      152.03    8419.03   33.10     29.94     
8430.00   0.51      146.05    8429.03   33.02     29.99     
8440.00   0.50      139.76    8439.03   32.95     30.04     
8450.00   0.50      133.29    8449.03   32.88     30.10     
8460.00   0.50      128.10    8459.03   32.83     30.17     
8470.00   0.49      128.08    8469.03   32.78     30.23     
8480.00   0.48      128.06    8479.03   32.72     30.30     
8490.00   0.47      128.04    8489.03   32.67     30.37     
8500.00   0.46      128.02    8499.03   32.62     30.43     
8510.00   0.45      128.00    8509.03   32.57     30.49     
8520.00   0.43      127.98    8519.03   32.53     30.55     
8530.00   0.42      127.96    8529.03   32.48     30.61     
8540.00   0.41      127.93    8539.03   32.44     30.67     
8550.00   0.40      127.91    8549.03   32.39     30.72     
8560.00   0.43      129.62    8559.03   32.35     30.78     
8570.00   0.47      131.72    8569.03   32.30     30.84     
8580.00   0.51      133.47    8579.03   32.24     30.90     
8590.00   0.55      134.97    8589.03   32.17     30.97     
8600.00   0.59      136.25    8599.03   32.10     31.04     
8610.00   0.64      137.36    8609.02   32.02     31.11     
8620.00   0.68      138.33    8619.02   31.94     31.19     
8630.00   0.72      139.19    8629.02   31.85     31.27     
8640.00   0.77      139.95    8639.02   31.75     31.35     
8650.00   0.81      140.10    8649.02   31.64     31.44     
8660.00   0.85      138.19    8659.02   31.53     31.54     
8670.00   0.89      136.46    8669.02   31.42     31.64     
8680.00   0.93      134.88    8679.02   31.31     31.75     
8690.00   0.97      133.44    8689.02   31.19     31.87     
8700.00   1.01      132.11    8699.01   31.08     32.00     
8710.00   1.06      130.89    8709.01   30.96     32.13     
8720.00   1.10      129.77    8719.01   30.83     32.27     
8730.00   1.14      128.73    8729.01   30.71     32.43     
8740.00   1.19      127.77    8739.01   30.58     32.59     
8750.00   1.16      127.12    8749.01   30.46     32.75     
8760.00   1.11      126.54    8759.00   30.34     32.91     
8770.00   1.05      125.90    8769.00   30.23     33.06     
8780.00   1.00      125.20    8779.00   30.12     33.21     
8790.00   0.95      124.41    8789.00   30.03     33.35     
8800.00   0.89      123.52    8799.00   29.94     33.48     
8810.00   0.84      122.53    8809.00   29.86     33.61     
8820.00   0.79      121.40    8819.00   29.78     33.73     
8830.00   0.74      120.12    8828.99   29.71     33.84     
8840.00   0.71      117.56    8838.99   29.65     33.95     
8850.00   0.73      112.66    8848.99   29.60     34.06     
8860.00   0.77      108.15    8858.99   29.55     34.19     
8870.00   0.80      104.02    8868.99   29.51     34.32     
8880.00   0.84      100.28    8878.99   29.48     34.46     
8890.00   0.89      96.89     8888.99   29.46     34.61     
8900.00   0.94      93.83     8898.99   29.45     34.77     
8910.00   0.98      91.07     8908.99   29.44     34.94     
8920.00   1.04      88.58     8918.98   29.44     35.11     
8930.00   1.09      86.32     8928.98   29.45     35.30     
8940.00   1.11      83.24     8938.98   29.47     35.49     
8950.00   1.12      79.97     8948.98   29.49     35.68     
8960.00   1.13      76.76     8958.98   29.53     35.87     
8970.00   1.15      73.64     8968.98   29.58     36.06     
8980.00   1.17      70.62     8978.97   29.65     36.26     
8990.00   1.19      67.70     8988.97   29.72     36.45     
9000.00   1.22      64.91     8998.97   29.80     36.64     
9010.00   1.24      62.24     9008.97   29.90     36.83     
9020.00   1.28      59.70     9018.96   30.01     37.02     
9030.00   1.29      58.30     9028.96   30.12     37.22     
9040.00   1.27      59.31     9038.96   30.24     37.41     
9050.00   1.25      60.36     9048.96   30.35     37.60     
9060.00   1.23      61.44     9058.95   30.45     37.79     
9070.00   1.20      62.57     9068.95   30.55     37.97     
9080.00   1.18      63.73     9078.95   30.65     38.16     
9090.00   1.16      64.94     9088.95   30.74     38.34     
9100.00   1.14      66.19     9098.95   30.82     38.53     
9110.00   1.12      67.49     9108.94   30.90     38.71     
9120.00   1.10      68.83     9118.94   30.97     38.89     
9130.00   1.13      69.82     9128.94   31.04     39.07     
9140.00   1.16      70.68     9138.94   31.11     39.26     
9150.00   1.19      71.50     9148.94   31.17     39.45     
9160.00   1.22      72.27     9158.93   31.24     39.65     
9170.00   1.25      73.00     9168.93   31.30     39.86     
9180.00   1.29      73.69     9178.93   31.37     40.07     
9190.00   1.32      74.35     9188.93   31.43     40.29     
9200.00   1.35      74.97     9198.92   31.49     40.51     
9210.00   1.39      75.57     9208.92   31.55     40.74     
9220.00   1.38      74.88     9218.92   31.61     40.98     
9230.00   1.34      73.27     9228.92   31.68     41.21     
9240.00   1.31      71.58     9238.91   31.75     41.43     
9250.00   1.27      69.80     9248.91   31.82     41.64     
9260.00   1.24      67.92     9258.91   31.90     41.84     
9270.00   1.21      65.93     9268.91   31.98     42.04     
9280.00   1.18      63.85     9278.90   32.07     42.23     
9290.00   1.15      61.66     9288.90   32.16     42.41     
9300.00   1.12      59.36     9298.90   32.26     42.58     
9310.00   1.10      57.11     9308.90   32.36     42.75     
9320.00   1.15      56.25     9318.90   32.47     42.91     
9330.00   1.19      55.44     9328.89   32.59     43.08     
9340.00   1.23      54.69     9338.89   32.71     43.25     
9350.00   1.27      54.00     9348.89   32.83     43.43     
9360.00   1.31      53.34     9358.89   32.97     43.61     
9370.00   1.36      52.73     9368.88   33.11     43.80     
9380.00   1.40      52.15     9378.88   33.25     43.99     
9390.00   1.44      51.61     9388.88   33.41     44.18     
9400.00   1.48      51.10     9398.87   33.57     44.38     
9410.00   1.54      51.64     9408.87   33.73     44.59     
9420.00   1.62      52.79     9418.87   33.90     44.80     
9430.00   1.69      53.84     9428.86   34.07     45.04     
9440.00   1.76      54.81     9438.86   34.25     45.28     
9450.00   1.84      55.69     9448.85   34.43     45.54     
9460.00   1.91      56.51     9458.85   34.61     45.81     
9470.00   1.99      57.26     9468.84   34.80     46.09     
9480.00   2.06      57.96     9478.84   34.98     46.39     
9490.00   2.14      58.61     9488.83   35.18     46.71     
9500.00   2.20      59.19     9498.82   35.37     47.03     
9510.00   2.17      59.67     9508.81   35.57     47.36     
9520.00   2.15      60.15     9518.81   35.76     47.69     
9530.00   2.13      60.65     9528.80   35.94     48.01     
9540.00   2.11      61.15     9538.79   36.12     48.33     
